Source,Target
4024597,4024046
4024046,1395425
1395425,1400225
1400225,418055
418055,3912238
3912238,1079046
1079046,1079185
1079185,1079383
1079383,1079581
1079581,1107478
1107478,1107568
1107568,1107658
4024601,4024043
4024043,1395453
1395453,1400224
1400224,418648
418648,3912254
3912254,1079057
1079057,1079196
1079196,1079394
1079394,1079592
1079592,1107489
1107489,1107579
1107579,1107669
4024604,4023357
4023357,1395439
1395439,1400227
1400227,483293
483293,3911870
3911870,1079086
1079086,1079225
1079225,1079423
1079423,1079621
1079621,1107518
1107518,1107608
1107608,1107698
4024607,4023361
4023361,4058432
4058432,4023157
4023157,418636
418636,3912252
3912252,1079049
1079049,1079188
1079188,1079386
1079386,1079584
1079584,1107481
1107481,1107571
1107571,1107661
4119994,4120198
4120198,4120304
4120304,4120311
4120311,1002781
1002781,3913234
3913234,4120320
4120320,1079250
1079250,1079448
1079448,1079646
1079646,1107543
1107543,1107633
1107633,4120335
4095104,341146
341137,341153
418055,726570
418055,726571
418055,726576
418055,1511279
418636,341137
418636,4095104
418636,1511281
418636,341138
418648,1221845
418648,1221846
418648,1511279
418648,4095026
483293,726670
483293,1511281
483293,726676
483293,726671
4097104,679305
679296,679312
4097376,680093
680084,680100
4097485,680881
680872,680888
4097699,681669
681660,681676
4097875,682457
682448,682464
4098117,683245
683236,683252
4098456,684033
684024,684040
4098638,684821
684812,684828
725295,725302
725300,725351
726571,726578
726576,726627
726671,726678
726676,726727
726810,726817
726815,726866
726910,726917
726915,726966
727049,727056
727054,727105
727149,727156
727154,727205
727288,727295
727293,727344
727388,727395
727393,727444
727527,727534
727532,727583
727627,727634
727632,727683
727766,727773
727771,727822
727866,727873
727871,727922
728005,728012
728010,728061
728105,728112
728110,728161
728244,728251
728249,728300
728344,728351
728349,728400
728483,728490
728488,728539
728583,728590
728588,728639
818443,818455
819978,819990
820052,820064
820126,820138
820200,820212
820274,820286
820348,820360
820422,820434
820496,820508
1002781,607437
1002781,819113
1002781,818443
1002781,4119625
1021040,1021047
1021045,1021096
649517,1030438
1079046,727048
1079046,727049
1079046,727054
1079046,1511287
1079049,680084
1079049,4097376
1079049,1511289
1079049,680085
1079057,1222061
1079057,1222062
