id,head_height,mark,classification
341150,205.0,433,door
341151,205.0,434,door
341153,202.0,435,door
341154,205.0,436,door
341362,210.0,444,door
341363,210.0,445,door
375573,210.0,945,door
375574,210.0,946,door
388187,210.0,1153,door
388395,220.0,1170,door
388396,220.0,1171,door
388398,202.0,1172,door
388431,220.0,1174,door
440756,220.0,930,door
441522,220.0,931,door
442128,220.0,932,door
607822,210.0,1133,door
679309,205.0,63,door
679310,205.0,64,door
679312,202.0,65,door
679313,205.0,66,door
679659,210.0,89,door
680097,205.0,111,door
680098,205.0,112,door
680100,202.0,113,door
680101,205.0,114,door
680447,210.0,137,door
680885,205.0,165,door
680886,205.0,166,door
680888,202.0,167,door
680889,205.0,168,door
681235,210.0,191,door
681673,205.0,213,door
681674,205.0,214,door
681676,202.0,215,door
681677,205.0,216,door
682023,210.0,239,door
682461,205.0,261,door
682462,205.0,262,door
682464,202.0,263,door
682465,205.0,264,door
682587,210.0,267,door
682588,210.0,268,door
682811,210.0,287,door
683249,205.0,309,door
683250,205.0,310,door
683252,202.0,311,door
683253,205.0,312,door
683599,210.0,335,door
684037,205.0,357,door
684038,205.0,358,door
684040,202.0,359,door
684041,205.0,360,door
684387,210.0,383,door
684825,205.0,405,door
684826,205.0,412,door
684828,202.0,413,door
684829,205.0,414,door
685175,210.0,461,door
685613,205.0,490,door
685614,205.0,491,door
685616,202.0,492,door
685617,205.0,493,door
685963,210.0,516,door
686286,202.0,526,door
686287,205.0,527,door
686288,205.0,528,door
686289,205.0,529,door
686290,205.0,530,door
686291,205.0,531,door
686292,205.0,532,door
686591,210.0,546,door
688332,205.0,568,door
688333,205.0,569,door
688335,202.0,570,door
688336,205.0,571,door
688371,210.0,572,door
688397,205.0,573,door
725302,202.0,968,door
725303,205.0,969,door
725304,205.0,972,door
725305,205.0,973,door
725306,205.0,974,door
725307,205.0,975,door
725308,205.0,976,door
725309,205.0,977,door
725353,210.0,978,door
726578,202.0,979,door
726579,205.0,980,door
726580,205.0,981,door
726581,205.0,982,door
726582,205.0,983,door
726583,205.0,984,door
726584,205.0,987,door
726585,205.0,992,door
726629,210.0,993,door
726678,202.0,994,door
726679,205.0,995,door
726680,205.0,996,door
726681,205.0,997,door
726682,205.0,998,door
726683,205.0,999,door
726684,205.0,1000,door
726685,205.0,1001,door
726729,210.0,1002,door
726817,202.0,1003,door
726818,205.0,1004,door
726819,205.0,1005,door
726820,205.0,1006,door
726821,205.0,1007,door
726822,205.0,1008,door
726823,205.0,1009,door
726824,205.0,1010,door
726868,210.0,1011,door
726917,202.0,1012,door
726918,205.0,1014,door
726919,205.0,1015,door
726920,205.0,1016,door
726921,205.0,1017,door
726922,205.0,1018,door
726923,205.0,1019,door
726924,205.0,1020,door
726968,210.0,1021,door
727056,202.0,1022,door
727057,205.0,1023,door
727058,205.0,1024,door
727059,205.0,1025,door
727060,205.0,1026,door
727061,205.0,1027,door
727062,205.0,1028,door
727063,205.0,1029,door
727107,210.0,1030,door
727156,202.0,1031,door
727157,205.0,1032,door
727158,205.0,1033,door
727159,205.0,1034,door
727160,205.0,1035,door
727161,205.0,1036,door
727162,205.0,1037,door
727163,205.0,1038,door
727207,210.0,1039,door
727295,202.0,1040,door
727296,205.0,1041,door
727297,205.0,1042,door
727298,205.0,1043,door
727299,205.0,1044,door
727300,205.0,1045,door
727301,205.0,1046,door
727302,205.0,1047,door
727346,210.0,1048,door
727395,202.0,1049,door
727396,205.0,1050,door
727397,205.0,1051,door
727398,205.0,1052,door
727399,205.0,1053,door
727400,205.0,1054,door
727401,205.0,1055,door
727402,205.0,1056,door
727446,210.0,1057,door
727534,202.0,1058,door
727535,205.0,1059,door
727536,205.0,1060,door
727537,205.0,1061,door
727538,205.0,1062,door
727539,205.0,1063,door
727540,205.0,1064,door
727541,205.0,1065,door
727585,210.0,1066,door
727634,202.0,1067,door
727635,205.0,1068,door
727636,205.0,1069,door
727637,205.0,1070,door
727638,205.0,1071,door
727639,205.0,1072,door
727640,205.0,1073,door
727641,205.0,1074,door
727685,210.0,1075,door
727773,202.0,1076,door
727774,205.0,1077,door
727775,205.0,1078,door
727776,205.0,1079,door
727777,205.0,1080,door
727778,205.0,1081,door
727779,205.0,1082,door
727780,205.0,1083,door
727824,210.0,1084,door
727873,202.0,1085,door
727874,205.0,1086,door
727875,205.0,1087,door
727876,205.0,1088,door
727877,205.0,1089,door
727878,205.0,1090,door
727879,205.0,1091,door
727880,205.0,1092,door
727924,210.0,1093,door
728012,202.0,1094,door
728013,205.0,1095,door
728014,205.0,1096,door
728015,205.0,1097,door
728016,205.0,1098,door
728017,205.0,1099,door
728018,205.0,1100,door
728019,205.0,1101,door
728063,210.0,1102,door
