id,classification
407898,separationline
418507,separationline
418728,separationline
418883,separationline
419512,separationline
419564,separationline
419680,separationline
433289,separationline
433708,separationline
483257,separationline
485910,separationline
485911,separationline
485932,separationline
485933,separationline
492052,separationline
573055,separationline
573056,separationline
592398,separationline
592586,separationline
640515,separationline
641719,separationline
770836,separationline
770879,separationline
770948,separationline
771034,separationline
771069,separationline
775109,separationline
775174,separationline
775374,separationline
775497,separationline
779564,separationline
779782,separationline
779856,separationline
779926,separationline
781826,separationline
781875,separationline
781943,separationline
785770,separationline
785801,separationline
785870,separationline
785901,separationline
998584,separationline
1003752,separationline
1004049,separationline
1025017,separationline
1079039,separationline
1079048,separationline
1079059,separationline
1079060,separationline
1079064,separationline
1079065,separationline
1079066,separationline
1079080,separationline
1079088,separationline
1079089,separationline
1079090,separationline
1079091,separationline
1079092,separationline
1079093,separationline
1079094,separationline
1079095,separationline
1079096,separationline
1079097,separationline
1079101,separationline
1079102,separationline
1079113,separationline
1079114,separationline
1079115,separationline
1079122,separationline
1079178,separationline
1079187,separationline
1079198,separationline
1079199,separationline
1079203,separationline
1079204,separationline
1079205,separationline
1079219,separationline
1079227,separationline
1079228,separationline
1079229,separationline
1079230,separationline
1079231,separationline
1079232,separationline
1079233,separationline
1079234,separationline
1079235,separationline
1079236,separationline
1079240,separationline
1079241,separationline
1079252,separationline
1079253,separationline
1079254,separationline
1079261,separationline
1079375,separationline
1079376,separationline
1079385,separationline
1079396,separationline
1079397,separationline
1079401,separationline
1079402,separationline
1079403,separationline
1079416,separationline
1079417,separationline
1079425,separationline
1079426,separationline
1079427,separationline
1079428,separationline
1079429,separationline
1079430,separationline
1079431,separationline
1079432,separationline
1079433,separationline
1079434,separationline
1079438,separationline
1079439,separationline
1079450,separationline
1079451,separationline
1079452,separationline
1079459,separationline
1079574,separationline
1079583,separationline
1079594,separationline
1079595,separationline
1079599,separationline
1079615,separationline
1079623,separationline
1079624,separationline
1079625,separationline
1079626,separationline
1079627,separationline
1079628,separationline
1079629,separationline
1079630,separationline
1079631,separationline
1079632,separationline
1079636,separationline
1079637,separationline
1079648,separationline
1079649,separationline
1079650,separationline
1079657,separationline
1106112,separationline
1107471,separationline
1107480,separationline
1107491,separationline
1107492,separationline
1107496,separationline
1107497,separationline
1107498,separationline
1107512,separationline
1107520,separationline
1107521,separationline
1107522,separationline
1107523,separationline
1107524,separationline
1107525,separationline
1107526,separationline
1107527,separationline
1107528,separationline
1107529,separationline
1107533,separationline
1107534,separationline
1107545,separationline
1107546,separationline
1107547,separationline
1107554,separationline
1107561,separationline
1107570,separationline
1107581,separationline
1107582,separationline
1107586,separationline
1107587,separationline
1107588,separationline
1107602,separationline
1107610,separationline
1107611,separationline
1107612,separationline
1107613,separationline
1107614,separationline
1107615,separationline
1107616,separationline
1107617,separationline
1107618,separationline
1107619,separationline
1107623,separationline
1107624,separationline
1107635,separationline
1107636,separationline
1107637,separationline
1107644,separationline
1107651,separationline
1107660,separationline
1107671,separationline
1107672,separationline
1107676,separationline
1107677,separationline
1107678,separationline
1107692,separationline
1107700,separationline
1107701,separationline
1107702,separationline
1107703,separationline
1107704,separationline
1107705,separationline
1107706,separationline
1107707,separationline
1107708,separationline
1107709,separationline
1107713,separationline
1107714,separationline
1107725,separationline
1107726,separationline
1107727,separationline
1107734,separationline
1107741,separationline
1107750,separationline
1107761,separationline
1107762,separationline
1107766,separationline
1107768,separationline
1107782,separationline
1107790,separationline
1107791,separationline
1107792,separationline
1107793,separationline
1107794,separationline
1107795,separationline
1107796,separationline
1107797,separationline
1107798,separationline
1107799,separationline
1107803,separationline
1107804,separationline
1107815,separationline
1107816,separationline
1107817,separationline
1107824,separationline
1107831,separationline
1107840,separationline
1107851,separationline
1107852,separationline
1107856,separationline
1107858,separationline
1107872,separationline
1107880,separationline
1107881,separationline
1107882,separationline
1107883,separationline
1107884,separationline
1107885,separationline
1107886,separationline
1107887,separationline
1107888,separationline
1107889,separationline
1107893,separationline
1107894,separationline
1107907,separationline
1107914,separationline
1297677,separationline
1432650,separationline
2374151,separationline
2588946,separationline
2588947,separationline
2588948,separationline
2588971,separationline
2589001,separationline
2589085,separationline
2589108,separationline
2589323,separationline
2589386,separationline
2591873,separationline
2656230,separationline
2656271,separationline
2692765,separationline
2692766,separationline
2692767,separationline
2692768,separationline
2692872,separationline
2692873,separationline
2692908,separationline
2692909,separationline
2692910,separationline
2692911,separationline
2693195,separationline
2693225,separationline
2693279,separationline
2693334,separationline
2693335,separationline
2693422,separationline
2693423,separationline
2693424,separationline
2693425,separationline
2693672,separationline
2694026,separationline
2694027,separationline
2694028,separationline
2694029,separationline
2694048,separationline
2694049,separationline
2694050,separationline
2694051,separationline
2694102,separationline
2694103,separationline
2694104,separationline
2694125,separationline
2694126,separationline
2694127,separationline
2694128,separationline
2694200,separationline
2694201,separationline
2694202,separationline
2694203,separationline
2695536,separationline
2695537,separationline
2695538,separationline
2695539,separationline
2695567,separationline
2695568,separationline
2695569,separationline
2695665,separationline
2695666,separationline
2695690,separationline
2695691,separationline
2695692,separationline
2695693,separationline
2695735,separationline
2695736,separationline
2695737,separationline
2695760,separationline
2695761,separationline
2695762,separationline
2695801,separationline
2695803,separationline
2695826,separationline
2695827,separationline
2696033,separationline
2696034,separationline
2696035,separationline
2696036,separationline
2696059,separationline
2696061,separationline
2696062,separationline
2696095,separationline
2696096,separationline
2696097,separationline
2696098,separationline
2696122,separationline
2696123,separationline
2696124,separationline
2696125,separationline
2696302,separationline
2696303,separationline
2696304,separationline
2696330,separationline
2696331,separationline
2696332,separationline
2696422,separationline
2696423,separationline
2696424,separationline
2696425,separationline
2696459,separationline
2696460,separationline
2696461,separationline
2696502,separationline
2696503,separationline
2696504,separationline
2696533,separationline
2696534,separationline
2696535,separationline
2696642,separationline
2696643,separationline
2696644,separationline
2696645,separationline
2696668,separationline
2696711,separationline
2696712,separationline
2696713,separationline
2696714,separationline
2696753,separationline
2696964,separationline
2696965,separationline
2697015,separationline
2697016,separationline
2697017,separationline
2697039,separationline
2697040,separationline
2697042,separationline
2697075,separationline
2697076,separationline
2697077,separationline
2697078,separationline
2697107,separationline
2697108,separationline
2697109,separationline
2697110,separationline
2697165,separationline
2697166,separationline
2697167,separationline
2697168,separationline
2697199,separationline
2697200,separationline
2697201,separationline
2697202,separationline
2697230,separationline
2697231,separationline
2697232,separationline
2697233,separationline
2697279,separationline
2697280,separationline
2697281,separationline
2697282,separationline
2697332,separationline
2697333,separationline
2697334,separationline
2697335,separationline
2697379,separationline
2697380,separationline
2697381,separationline
2697382,separationline
2701543,separationline
2701544,separationline
2701545,separationline
2701546,separationline
2701587,separationline
2701588,separationline
2701589,separationline
2701590,separationline
2701616,separationline
2701617,separationline
2701642,separationline
