id,thickness,classification
333531,20.0,slab
652257,34.0,slab
682902,34.0,slab
687602,20.0,slab
814941,34.0,slab
837938,,slab
863992,,slab
864011,,slab
864030,,slab
864049,,slab
864068,,slab
864087,,slab
864106,,slab
864125,,slab
864144,,slab
864163,,slab
892493,37.0,slab
893494,25.0,slab
895857,52.0,slab
897417,34.0,slab
920727,,slab
920752,,slab
920777,,slab
920802,,slab
920827,,slab
920852,,slab
920877,,slab
920902,,slab
920927,,slab
920952,,slab
1125587,34.0,slab
1125975,34.0,slab
1178429,,slab
1221348,,slab
1222936,,slab
1222961,,slab
1234875,37.0,slab
1319623,20.0,slab
1649915,15.0,slab
1856619,,slab
1856646,,slab
1856673,,slab
1856700,,slab
1856727,,slab
1856754,,slab
1856781,,slab
1856808,,slab
1856835,,slab
1907582,,slab
1907659,,slab
1907736,,slab
1907813,,slab
1907890,,slab
1907967,,slab
1908044,,slab
1908121,,slab
1908198,,slab
1908275,,slab
1908352,,slab
1908429,,slab
1908514,,slab
1908591,,slab
1908668,,slab
1908745,,slab
1908822,,slab
1908899,,slab
1908976,,slab
1909053,,slab
1909130,,slab
1909207,,slab
1909284,,slab
1909361,,slab
1984244,15.0,slab
1984615,20.0,slab
1984664,15.0,slab
1984715,20.0,slab
1984764,15.0,slab
1984815,20.0,slab
1984864,15.0,slab
1984915,20.0,slab
1984964,15.0,slab
1985015,20.0,slab
1985064,15.0,slab
1985115,20.0,slab
1985164,15.0,slab
1985215,20.0,slab
1985264,15.0,slab
1985315,20.0,slab
1985364,15.0,slab
1985415,20.0,slab
1985464,15.0,slab
1985515,20.0,slab
1985564,15.0,slab
1985640,15.0,slab
1985757,24.999999999999996,slab
1985987,15.0,slab
1987622,35.0,slab
2005650,37.0,slab
2005680,37.0,slab
2005710,37.0,slab
2005740,37.0,slab
2005770,37.0,slab
2005800,37.0,slab
2005830,37.0,slab
2005860,37.0,slab
2005926,37.0,slab
2005976,37.0,slab
2054943,37.0,slab
2272702,25.0,slab
2273416,20.0,slab
2273428,25.0,slab
2273440,25.0,slab
2273452,25.0,slab
2273464,25.0,slab
2273476,25.0,slab
2273488,25.0,slab
2273500,25.0,slab
2273512,25.0,slab
2273524,25.0,slab
2273536,25.0,slab
2273548,25.0,slab
2273560,20.0,slab
2273572,20.0,slab
2273584,20.0,slab
2273596,20.0,slab
2273608,20.0,slab
2273620,20.0,slab
2273632,20.0,slab
2273644,20.0,slab
2273656,20.0,slab
2273668,20.0,slab
2273680,20.0,slab
2274404,25.0,slab
2274654,25.0,slab
2274670,25.0,slab
2274678,25.0,slab
2274686,25.0,slab
2274694,25.0,slab
2274702,25.0,slab
2274710,25.0,slab
2274718,25.0,slab
2274726,25.0,slab
2274734,25.0,slab
2274742,25.0,slab
2275271,25.0,slab
2275514,25.0,slab
2275522,25.0,slab
2275530,25.0,slab
2275538,25.0,slab
2275546,25.0,slab
2275554,25.0,slab
2275562,25.0,slab
2275570,25.0,slab
2275578,25.0,slab
2275586,25.0,slab
2275816,25.0,slab
2276105,25.0,slab
2276113,25.0,slab
2276121,25.0,slab
2276129,25.0,slab
2276137,25.0,slab
2276145,25.0,slab
2276153,25.0,slab
2276161,25.0,slab
2276169,25.0,slab
2276177,25.0,slab
2305656,25.0,slab
2353173,45.0,slab
2423179,45.0,slab
2734836,15.0,slab
2736895,15.0,slab
2736932,15.0,slab
2736969,15.0,slab
2737006,15.0,slab
2737043,15.0,slab
2737080,15.0,slab
2737117,15.0,slab
2737154,15.0,slab
2737191,15.0,slab
2737228,15.0,slab
2737535,15.0,slab
2738472,15.0,slab
3044853,34.0,slab
3051400,34.0,slab
3052481,34.0,slab
3052926,34.0,slab
3055096,34.0,slab
3055606,34.0,slab
3056477,34.0,slab
3057099,34.0,slab
3124267,15.0,slab
3321903,20.0,slab
3408807,23.0,slab
3408813,23.0,slab
3408819,23.0,slab
3408825,23.0,slab
3408831,23.0,slab
3408837,23.0,slab
3408843,23.0,slab
3408849,23.0,slab
3408856,23.0,slab
3408864,23.0,slab
3408870,23.0,slab
3408876,23.0,slab
3408882,23.0,slab
3408888,23.0,slab
3408894,23.0,slab
3408903,23.0,slab
3408910,23.0,slab
3408917,23.0,slab
3408923,23.0,slab
3408929,23.0,slab
3408935,23.0,slab
3493938,20.0,slab
3494510,20.0,slab
3498701,20.0,slab
3523442,20.0,slab
3635890,20.0,slab
3681658,45.0,slab
