id,head_height,mark,classification
341146,211.00000000000168,91,window
341187,214.00000000000003,92,window
341188,203.0,93,window
341189,203.000000000035,94,window
341190,203.5,95,window
341191,206.0,96,window
388391,211.0,609,window
388432,214.00000000000003,610,window
388433,203.0,611,window
388435,205.49999999999997,613,window
442789,206.09,490,window
443606,206.09,491,window
547170,210.99999999999955,614,window
548307,210.99999999999972,615,window
679305,211.00000000000168,56,window
679330,214.00000000000003,57,window
679331,203.0,58,window
679332,203.000000000035,59,window
679333,203.5,60,window
679334,206.0,61,window
680093,211.00000000000168,111,window
680118,214.00000000000003,112,window
680119,203.0,113,window
680120,203.000000000035,114,window
680121,203.5,115,window
680122,206.0,116,window
680881,211.00000000000168,152,window
680906,214.00000000000003,153,window
680907,203.0,154,window
680908,203.000000000035,155,window
680909,203.5,156,window
680910,206.0,157,window
681669,211.00000000000168,187,window
681694,214.00000000000003,188,window
681695,203.0,189,window
681696,203.000000000035,190,window
681697,203.5,191,window
681698,206.0,192,window
682457,211.00000000000168,222,window
682482,214.00000000000003,223,window
682483,203.0,224,window
682484,203.000000000035,225,window
682485,203.5,226,window
682486,206.0,227,window
683245,211.00000000000168,257,window
683270,214.00000000000003,258,window
683271,203.0,259,window
683272,203.000000000035,260,window
683273,203.5,261,window
683274,206.0,262,window
684033,211.00000000000168,292,window
684058,214.00000000000003,293,window
684059,203.0,294,window
684060,203.000000000035,295,window
684061,203.5,296,window
684062,206.0,297,window
684821,211.00000000000168,327,window
684846,214.00000000000003,328,window
684847,203.0,329,window
684848,203.000000000035,330,window
684849,203.5,331,window
684850,206.0,332,window
685609,211.00000000000168,367,window
685634,214.00000000000003,368,window
685635,203.0,369,window
685636,203.000000000035,370,window
685637,203.5,371,window
685638,206.0,372,window
686315,202.99999999999997,388,window
686316,202.99999999999866,389,window
686317,202.99999999999693,390,window
686318,203.0,391,window
686319,206.99999999999133,392,window
686320,206.0,393,window
686332,214.00000000000003,394,window
686335,210.99999999998968,395,window
688328,210.99999999999145,418,window
688353,214.00000000000003,419,window
688354,203.0,420,window
688355,203.00000000003607,421,window
688356,205.49999999999997,422,window
688357,206.0,423,window
720969,200.92129629628354,603,window
725331,203.00000000001006,517,window
725332,203.00000000000898,518,window
725333,202.99999999997016,519,window
725334,203.0,520,window
725335,206.99999999996513,521,window
725336,206.0,522,window
725348,214.00000000000003,523,window
725351,211.00000000000375,524,window
726607,203.00000000001006,525,window
726608,203.00000000000898,526,window
726609,202.99999999997016,527,window
726610,203.0,528,window
726611,206.99999999996513,529,window
726612,206.0,530,window
726624,214.00000000000003,531,window
726627,211.00000000000375,532,window
726707,203.00000000001006,533,window
726708,203.00000000000898,534,window
726709,202.99999999997016,535,window
726710,203.0,536,window
726711,206.99999999996513,537,window
726712,206.0,538,window
726724,214.00000000000003,539,window
726727,211.00000000000375,540,window
726846,203.00000000001006,541,window
726847,203.00000000000898,542,window
726848,202.99999999997016,543,window
726849,203.0,544,window
726850,206.99999999996513,545,window
726851,206.0,546,window
726863,214.00000000000003,547,window
726866,211.00000000000375,548,window
726946,203.00000000001006,549,window
726947,203.00000000000898,550,window
726948,202.99999999997016,551,window
726949,203.0,552,window
726950,206.99999999996513,553,window
726951,206.0,554,window
726963,214.00000000000003,555,window
726966,211.00000000000375,556,window
727085,203.00000000001006,557,window
727086,203.00000000000898,558,window
727087,202.99999999997016,559,window
727088,203.0,560,window
727089,206.99999999996513,561,window
727090,206.0,562,window
727102,214.00000000000003,563,window
727105,211.00000000000375,564,window
727185,203.00000000001006,565,window
727186,203.00000000000898,566,window
727187,202.99999999997016,567,window
727188,203.0,568,window
727189,206.99999999996513,569,window
727190,206.0,570,window
727202,214.00000000000003,571,window
727205,211.00000000000375,572,window
727324,203.00000000001006,573,window
727325,203.00000000000898,574,window
727326,202.99999999997016,575,window
727327,203.0,576,window
727328,206.99999999996513,577,window
727329,206.0,578,window
727341,214.00000000000003,579,window
727344,211.00000000000375,580,window
727424,203.00000000001006,581,window
727425,203.00000000000898,582,window
727426,202.99999999997016,583,window
727427,203.0,584,window
727428,206.99999999996513,585,window
727429,206.0,586,window
727441,214.00000000000003,588,window
727444,211.00000000000375,589,window
727563,203.00000000001006,604,window
727564,203.00000000000898,605,window
727565,202.99999999997016,606,window
727566,203.0,607,window
727567,206.99999999996513,608,window
727568,206.0,612,window
727580,214.00000000000003,622,window
727583,211.00000000000375,623,window
727663,203.00000000001006,624,window
727664,203.00000000000898,625,window
727665,202.99999999997016,626,window
727666,203.0,627,window
727667,206.99999999996513,628,window
727668,206.0,629,window
727680,214.00000000000003,638,window
727683,211.00000000000375,639,window
727802,203.00000000001006,640,window
727803,203.00000000000898,641,window
727804,202.99999999997016,642,window
727805,203.0,643,window
727806,206.99999999996513,644,window
727807,206.0,645,window
727819,214.00000000000003,646,window
727822,211.00000000000375,647,window
727902,203.00000000001006,648,window
727903,203.00000000000898,649,window
727904,202.99999999997016,650,window
727905,203.0,651,window
727906,206.99999999996513,652,window
727907,206.0,653,window
727919,214.00000000000003,654,window
727922,211.00000000000375,655,window
728041,203.00000000001006,656,window
728042,203.00000000000898,657,window
728043,202.99999999997016,658,window
728044,203.0,659,window
728045,206.99999999996513,660,window
728046,206.0,661,window
728058,214.00000000000003,662,window
728061,211.00000000000375,663,window
728141,203.00000000001006,664,window
728142,203.00000000000898,665,window
728143,202.99999999997016,666,window
728144,203.0,667,window
728145,206.99999999996513,668,window
728146,206.0,669,window
728158,214.00000000000003,670,window
728161,211.00000000000375,671,window
728280,203.00000000001006,672,window
728281,203.00000000000898,673,window
728282,202.99999999997016,674,window
728283,203.0,675,window
728284,206.99999999996513,676,window
728285,206.0,677,window
728297,214.00000000000003,678,window
728300,211.00000000000375,679,window
728380,203.00000000001006,680,window
728381,203.00000000000898,681,window
728382,202.99999999997016,682,window
728383,203.0,683,window
728384,206.99999999996513,684,window
728385,206.0,685,window
728397,214.00000000000003,686,window
728400,211.00000000000375,687,window
728519,203.00000000001006,688,window
728520,203.00000000000898,689,window
728521,202.99999999997016,690,window
728522,203.0,691,window
728523,206.99999999996513,692,window
728524,206.0,693,window
728536,214.00000000000003,694,window
728539,211.00000000000375,695,window
728619,203.00000000001006,696,window
728620,203.00000000000898,697,window
728621,202.99999999997016,698,window
728622,203.0,699,window
728623,206.99999999996513,700,window
728624,206.0,701,window
728636,214.00000000000003,702,window
728639,211.00000000000375,703,window
728758,203.00000000001006,704,window
728759,203.00000000000898,705,window
728760,202.99999999997016,706,window
728761,203.0,707,window
728762,206.99999999996513,708,window
728763,206.0,709,window
728775,214.00000000000003,710,window
728778,211.00000000000375,711,window
728858,203.00000000001006,712,window
728859,203.00000000000898,713,window
728860,202.99999999997016,714,window
728861,203.0,715,window
728862,206.99999999996513,716,window
728863,206.0,717,window
728875,214.00000000000003,718,window
728878,211.00000000000375,719,window
730187,202.99999999999997,402,window
730188,202.99999999999866,403,window
730189,202.99999999999693,404,window
730190,203.0,405,window
730191,206.99999999999133,406,window
730192,206.0,407,window
730204,214.00000000000003,408,window
730207,210.99999999998968,409,window
818474,206.0873997061093,373,window
818475,206.0,374,window
818476,211.00000000002956,375,window
818505,209.5,376,window
820008,206.0873997061093,378,window
820009,206.0,379,window
820010,211.00000000002956,380,window
820039,209.5,381,window
820082,206.0873997061093,410,window
820083,206.0,411,window
820084,211.00000000002956,412,window
820113,209.5,413,window
820156,206.0873997061093,415,window
820157,206.0,416,window
820158,211.00000000002956,417,window
820187,209.5,424,window
820230,206.0873997061093,426,window
820231,206.0,427,window
820232,211.00000000002956,428,window
820261,209.5,429,window
820304,206.0873997061093,431,window
820305,206.0,432,window
820306,211.00000000002956,433,window
820335,209.5,434,window
820378,206.0873997061093,436,window
820379,206.0,437,window
820380,211.00000000002956,438,window
820409,209.5,439,window
820452,206.0873997061093,441,window
820453,206.0,442,window
820454,211.00000000002956,443,window
820483,209.5,444,window
820526,206.0873997061093,446,window
820527,206.0,447,window
820528,211.00000000002956,448,window
820557,209.5,449,window
820600,206.0873997061093,451,window
820601,206.0,452,window
820602,211.00000000002956,453,window
820631,209.5,454,window
864732,206.08739970610984,587,window
864733,206.00000000002646,593,window
864734,211.0000000000304,594,window
921433,202.99999999999912,754,window
921434,202.99999999999824,755,window
921435,202.99999999998525,756,window
921436,203.0,757,window
921444,214.00000000000003,599,window
921447,211.0,600,window
922076,206.08739970606322,507,window
1021076,203.0000000000001,943,window
1021077,202.99999999999903,944,window
1021078,202.99999999998374,945,window
1021079,206.49999999998226,946,window
1021080,206.9999999999886,947,window
1021081,206.0,948,window
1021093,214.00000000000003,949,window
1021096,210.9999999999937,950,window
1218992,210.99999999998198,383,window
1219016,214.00000000000003,384,window
1219017,206.49999999997095,385,window
1219018,203.00000000001873,951,window
1219019,203.5,952,window
1219020,206.0,953,window
1219076,385.0,972,window
1221854,210.99999999998198,386,window
1221878,214.00000000000003,387,window
1221879,206.49999999997095,456,window
1221880,203.00000000001873,457,window
1221881,203.5,458,window
1221882,206.0,459,window
1221938,385.0,463,window
1221964,210.99999999998198,465,window
1221988,214.00000000000003,466,window
1221989,206.49999999997095,467,window
1221990,203.00000000001873,468,window
1221991,203.5,469,window
1221992,206.0,470,window
1222048,385.0,474,window
1222070,210.99999999998198,476,window
1222094,214.00000000000003,477,window
1222095,206.49999999997095,478,window
1222096,203.00000000001873,479,window
1222097,203.5,480,window
1222098,206.0,481,window
1222154,385.0,485,window
1222176,210.99999999998198,487,window
1222200,214.00000000000003,488,window
1222201,206.49999999997095,489,window
1222202,203.00000000001873,492,window
1222203,203.5,493,window
1222204,206.0,494,window
1222260,385.0,498,window
1222282,210.99999999998198,500,window
1222306,214.00000000000003,501,window
1222307,206.49999999997095,502,window
1222308,203.00000000001873,503,window
1222309,203.5,504,window
1222310,206.0,505,window
1222366,385.0,510,window
1222388,210.99999999998198,512,window
1222412,214.00000000000003,513,window
1222413,206.49999999997095,514,window
1222414,203.00000000001873,515,window
1222415,203.5,516,window
1222416,206.0,590,window
1222472,385.0,597,window
1222494,210.99999999998198,601,window
1222518,214.00000000000003,602,window
1222519,206.49999999997095,616,window
1222520,203.00000000001873,617,window
