Source,Target
3640441,3642381
3642381,3643451
3643451,3643641
3643641,3644661
3644661,3644811
3640511,3642421
3642421,3643481
3643481,3643681
3643681,3644691
3644691,3644851
3640541,3642451
3642451,3643511
3643511,3643711
3643711,3644721
3644721,3644881
3640571,3642481
3642481,3643541
3643541,3643741
3643741,3644751
3644751,3644911
3641801,3642571
3642571,3643391
3643391,3643801
3643801,3644511
3644511,3645061
3641831,3642601
3642601,3643361
3643361,3643831
3643831,3644541
3644541,3645031
3641861,3642631
3642631,3643331
3643331,3643861
3643861,3644571
3644571,3645001
3641891,3642661
3642661,3643301
3643301,3643891
3643891,3644601
3644601,3644971
3641921,3642691
3642691,3643181
3643181,3644011
3644011,3644481
3644481,3645091
3641951,3642721
3642721,3643211
3643211,3643981
3643981,3644451
3644451,3645121
3641981,3642751
3642751,3643241
3643241,3643951
3643951,3644421
3644421,3645151
3642011,3642781
3642781,3643271
3643271,3643921
3643921,3644391
3644391,3645181
3642041,3642871
3642871,3643021
3643021,3644071
3644071,3644231
3644231,3645331
3642071,3642901
3642901,3643061
3643061,3644101
3644101,3644271
3644271,3645301
3642101,3642931
3642931,3643091
3643091,3644131
3644131,3644301
3644301,3645271
3642131,3642961
3642961,3643121
3643121,3644161
3644161,3644331
3644331,3645241
3272021,3333631
3273331,3347811
3274011,3348451
3274261,3349091
3274511,3349571
3268231,3364091
3273301,3366151
3273981,3367091
3274231,3367931
3274481,3368691
3511371,3512011
3511411,3512021
3511451,3512031
3511491,3512041
3511531,3512051
3511341,3512061
3511381,3512071
3511421,3512111
3511461,3512121
3511501,3512131
3535511,3536081
3535551,3536091
3535591,3536101
3535631,3536111
3535671,3536121
3535481,3536131
3535521,3536141
3535561,3536151
3535601,3536161
3535641,3536171
3543201,3543771
3543241,3543781
3543281,3543791
3543321,3543801
3543361,3543811
3543171,3543821
3543211,3543831
3543251,3543841
3543291,3543851
3543331,3543861
3548511,3549081
3548551,3549091
3548591,3549101
3548631,3549111
3548671,3549121
3548481,3549131
3548521,3549141
3548561,3549151
3548601,3549161
3548641,3549171
3555541,3555641
3555681,3555691
3555811,3555831
3555961,3556101
3556081,3556111
3555511,3556211
3555651,3556221
3555821,3556231
3555931,3556241
3556091,3556251
3559631,3560201
3559671,3560211
