Source,Target,Source-space,Source-wall,Source-door,Source-window,Target-space,Target-wall,Target-door,Target-window
725295,726670,0,1,0,0,0,1,0,0
1021039,725295,0,1,0,0,0,1,0,0
726571,726809,0,1,0,0,0,1,0,0
2833712,726571,0,1,0,0,0,1,0,0
726671,726909,0,1,0,0,0,1,0,0
726810,727048,0,1,0,0,0,1,0,0
726910,727148,0,1,0,0,0,1,0,0
727049,727287,0,1,0,0,0,1,0,0
727149,727387,0,1,0,0,0,1,0,0
727288,727526,0,1,0,0,0,1,0,0
727388,727626,0,1,0,0,0,1,0,0
727527,727765,0,1,0,0,0,1,0,0
727627,727865,0,1,0,0,0,1,0,0
727766,728004,0,1,0,0,0,1,0,0
727866,728104,0,1,0,0,0,1,0,0
728005,728243,0,1,0,0,0,1,0,0
728105,728343,0,1,0,0,0,1,0,0
728244,728482,0,1,0,0,0,1,0,0
728344,728582,0,1,0,0,0,1,0,0
1021040,3993127,0,1,0,0,0,1,0,0
1021045,3992729,0,1,0,0,0,1,0,0
3992656,3992729,0,1,0,0,0,1,0,0
1392087,2833712,0,1,0,0,0,1,0,0
1392087,3992727,0,1,0,0,0,1,0,0
3992664,3993272,0,1,0,0,0,1,0,0
3993126,4000367,0,1,0,0,0,1,0,0
3993180,3996221,0,1,0,0,0,1,0,0
3994864,4000363,0,1,0,0,0,1,0,0
3994866,4000363,0,1,0,0,0,1,0,0
