host,target
688311,688318
726888,726652
727771,728005
3052505,3051420
2833712,2833757
3687874,3687832
728097,728096
984802,984813
727530,727528
680099,680092
2038185,590179
1058017,921401
984798,984809
864711,864710
1222061,1222003
1222379,3161958
1551066,1551084
2833713,2568966
3044874,3051421
820000,818467
3044829,341293
818442,818453
727389,727390
3719042,3719064
3051387,3044835
782227,782226
1115721,1115720
820420,826238
1222489,1222493
683232,696246
728701,728707
3057140,728821
3687830,988933
3056499,3056498
683597,988609
3047947,3047946
1021036,1021131
3052918,3052456
3056501,3056497
727767,727768
1222054,1222166
696252,684808
1511291,1222062
984807,984797
984803,984793
820051,820063
1512326,1511291
1222056,1222171
820060,820133
1222109,1222169
388378,688315
1392147,1392143
1856853,1422045
3044830,3044831
3052908,3052913
3160123,3160687
683231,682442
1392074,700639
727858,727855
727369,727127
3494485,3493906
726909,727145
388106,452665
3052983,682780
2833713,984727
726907,726904
3162876,681654
1223266,720199
1222372,1222384
1551165,1552822
2736395,332813
3493900,877580
728087,727987
685173,684812
1221957,1222043
820350,820349
684026,683238
3220595,727383
3325727,727616
726806,727048
1222500,1222595
727852,727846
727987,727986
1296270,684820
1002769,820565
1222482,1222483
1222076,1222171
3044835,3051386
679311,680092
2472454,2594508
3057155,3057159
3719020,3719018
332811,341131
679657,679296
684025,683236
3622265,727148
1218998,1221853
820569,820580
727155,726915
820053,886211
820126,820054
2569669,2569668
3044841,3051420
3719018,3718600
1002761,681662
1222159,3161946
1222378,1222265
3056451,3056469
1222136,1222242
728087,728325
3564058,332815
921392,921395
341290,551724
726909,984752
1222702,1222701
727394,727393
1222467,1222381
3056470,3056449
726815,726816
1255163,727043
728346,728585
3687873,3687872
1222382,1222273
1296266,2594510
375525,968883
3324394,3324395
3687958,3687968
1043990,820209
3494493,3494494
1222606,2607018
820414,820421
680085,984751
1021043,2526196
3162861,341136
1222693,1222798
1807063,1807061
820343,820274
683233,684022
341290,3044826
3055117,3055069
818441,819976
684385,988619
727045,984757
1222273,1222321
864169,886211
1221837,726577
3051397,3044835
1856853,1223269
1221958,2606990
3165577,688312
728246,728485
2833695,2833706
2737018,701848
3052478,727384
3687874,3687916
1221851,1221920
1392082,1392087
3044833,341298
1222595,1222693
727514,727513
1909303,728703
1222587,1222595
820281,820275
3044914,3044912
819981,820055
2608383,680099
727862,728104
1222054,1222160
1856691,1222271
1222477,2604903
728349,728108
2737034,727368
3052455,3051391
728344,984801
2280984,2308106
726792,727030
728718,984819
728243,728244
3162864,679290
730153,730156
988596,988597
3052903,682550
726915,727154
728346,728106
820423,820503
819979,820059
682448,681659
1021040,1021039
3056457,3055587
1909072,727986
873819,873881
726553,726564
3760557,996693
3051378,3051377
1002763,820200
1909288,1909303
684021,684810
3052519,727387
3719064,685173
1222592,1222486
680085,727148
1222348,1222385
1222689,1222690
3055077,3055586
820518,820495
728324,728345
1248724,820565
2833702,2956410
1265979,725289
820001,820075
3687872,3687874
726911,727151
820592,820519
820569,820495
1223276,1223287
2517609,2517608
820127,820133
1221840,1218987
681663,681659
3220593,727283
1222693,1222587
868422,868410
3325538,3325537
818466,820000
728579,984802
2518455,2833691
1221845,1221930
2833718,726577
1222275,820125
3057071,868407
1222394,2607006
1222481,3566586
3586967,820074
3056454,3055582
3044875,807774
2421247,3627621
3052537,3051452
1043978,1043314
1221893,1222043
546117,686278
727135,727150
826234,820347
1222666,1222772
3564076,684020
1222065,1222056
1222797,1222692
1392143,2833698
1392145,1392147
1241421,688326
727271,727027
826083,890250
3564067,681657
1178448,2421246
3044827,3051374
820056,886211
820206,820279
728006,727985
1222784,1222803
1222818,1222811
3056536,3056531
3162865,679289
1553067,3052978
726667,726666
864055,864056
1222490,1222478
388106,3509308
590201,814927
3564076,683232
2472409,683240
341129,3162344
2608391,682447
826240,820494
730133,921563
3055581,3055579
727145,984752
682809,681662
2737071,727629
3056452,3056464
3055578,3055068
1909302,1909306
820136,820125
728566,728322
727626,727627
3051424,3051420
3044835,563957
686258,700956
820503,820430
820562,820569
680082,680086
1222594,1222591
3719021,3719044
680076,680083
3719018,684385
820422,820350
3687914,3586965
820211,820223
727152,726910
2594510,682454
1512342,728250
3055664,3056452
3494493,3494499
850270,854360
1021045,725295
3052519,727626
814923,815005
3055599,3056465
1392146,2833707
1222890,1222784
1551089,551832
2983530,700639
818453,819977
920757,920758
726652,726649
3044830,3051380
341291,814926
728324,728323
820047,819987
2327577,375049
820051,826228
332814,332813
1221956,1221845
1392080,1392091
3687876,3687917
728483,728488
1021039,375050
820639,820570
1908841,727027
3494499,3494500
818467,818454
728337,728338
728721,728482
989291,989295
725295,725284
683231,684019
2607671,679295
3044914,3051458
682450,682021
2833719,726577
2254488,2254487
1222215,1222109
820348,820350
727155,727393
684812,684024
3044847,3044839
1422045,1222589
3055666,3055668
1907740,1907751
728569,728584
1222173,1222057
3044831,3051378
820273,820222
1056634,388104
3324514,728322
3718596,3719018
681661,682448
3055668,3055667
730140,730141
3719025,3719019
682448,682451
1222804,1222698
2568966,726575
1856840,1856853
3467679,3467680
1222485,1222572
819976,826224
3055628,3056498
1221851,3566204
683228,684017
728576,728565
820058,820057
683228,728350
988586,988587
1222703,3566590
3162889,684811
727609,727509
2568996,728244
730132,730138
680087,680083
1248726,820422
1222267,3160699
1392087,1392092
984762,984752
3056538,3055597
820505,820431
1222818,2607022
3051393,3044877
590213,814909
3044834,3622264
3586969,3687956
820063,820137
726570,726571
1223279,3567859
984822,984821
1856841,1223269
820423,820350
688320,868418
688318,685599
727149,726909
1039493,3719259
2833713,2833718
680866,680078
726550,726549
679296,679295
1392074,1392073
727767,727752
3044908,3044912
3567700,3324600
728476,728465
688321,688317
984762,984753
1248720,989289
1650049,1161143
814925,814902
818453,818452
3051387,3052504
984728,984729
3055587,3056461
3687876,3687833
590193,590186
3051394,3052474
1907982,727366
3586975,820495
2341713,2303605
1512338,728011
1422045,1222164
826230,826232
1225387,819986
341130,3162860
1907677,725277
820639,820505
3586969,820296
820429,820356
826226,820051
684020,683232
1222694,1856787
820052,820047
1222066,3160690
1049874,868417
1222592,1222698
1518615,921382
3056456,3055585
1221847,1218981
1163274,1650049
1221959,1221963
727384,727383
728483,728249
2737240,701848
726790,726796
819977,989273
3056463,3056458
679296,988588
684016,683228
727387,727623
727758,727755
988587,988592
3057122,3057085
727270,727281
727523,727522
680872,680085
3220587,726906
1222639,1222572
727388,984752
1163274,1161143
1218980,3566574
3051387,3044876
375045,375044
686279,686282
3055587,3055592
728087,728086
