id,xmax,ymax,zmax,xmin,ymin,zmin,length,height,width,area,space,wall,door,window
418055,-3.781,1.7791,2.5842,-4.8433,0.9192,1.841,0.0,0.0,0.0,0.0,1,0,0,0
1079046,-3.781,1.7791,4.4252,-4.8433,0.9192,3.682,0.0,0.0,0.0,0.0,1,0,0,0
1079185,-3.781,1.7791,5.345700000000001,-4.8433,0.9192,4.6025,0.0,0.0,0.0,0.0,1,0,0,0
1079383,-3.781,1.7791,6.2662,-4.8433,0.9192,5.523,0.0,0.0,0.0,0.0,1,0,0,0
1079581,-3.781,1.7791,7.1867,-4.8433,0.9192,6.4435,0.0,0.0,0.0,0.0,1,0,0,0
1107478,-3.781,1.7791,8.1072,-4.8433,0.9192,7.364,0.0,0.0,0.0,0.0,1,0,0,0
1107568,-3.781,1.7791,9.0277,-4.8433,0.9192,8.284500000000001,0.0,0.0,0.0,0.0,1,0,0,0
1107658,-3.781,1.7791,9.9482,-4.8433,0.9192,9.205,0.0,0.0,0.0,0.0,1,0,0,0
1107748,-3.781,1.7791,10.8687,-4.8433,0.9192,10.1255,0.0,0.0,0.0,0.0,1,0,0,0
1107838,-3.781,1.7791,11.7892,-4.8433,0.9192,11.046,0.0,0.0,0.0,0.0,1,0,0,0
1395425,-3.781,1.7791,0.8122,-4.8433,0.9192,-0.0,0.0,0.0,0.0,0.0,1,0,0,0
1400225,-3.781,1.7791,1.6637000000000002,-4.8433,0.9192,0.9205,0.0,0.0,0.0,0.0,1,0,0,0
2966228,-3.781,1.7791,3.5047,-4.8433,0.9192,2.7615,0.0,0.0,0.0,0.0,1,0,0,0
418636,0.2249,0.8734999999999999,2.5842,-0.8526,0.0124,1.841,0.0,0.0,0.0,0.0,1,0,0,0
458912,0.2251,0.8658,12.7554,-0.8404,0.0124,12.0122,0.0,0.0,0.0,0.0,1,0,0,0
1079049,0.2249,0.8734999999999999,4.4252,-0.8526,0.0124,3.682,0.0,0.0,0.0,0.0,1,0,0,0
1079188,0.2249,0.8734999999999999,5.345700000000001,-0.8526,0.0124,4.6025,0.0,0.0,0.0,0.0,1,0,0,0
1079386,0.2249,0.8734999999999999,6.2662,-0.8526,0.0124,5.523,0.0,0.0,0.0,0.0,1,0,0,0
